customer_id,first_name,last_name,email,phone,signup_date,country,city,segment
52,Liam,Mahboub,lmahboub1478@gmail.com,+92-763-444-2151,2024-10-28,France,Toulouse,B2C
53,Olivia,Martin,omartin6126@outlook.com,+64-986-104-7459,2025-03-16,Morocco,Tangier,B2C
54,Ibrahim,Anderson,ianderson6370@gmail.com,+12-129-716-5900,2022-06-29,Netherlands,The Hague,B2C
55,Leila,Moore,lmoore9682@outlook.com,+2-371-563-9265,2024-11-08,Germany,Munich,B2C
56,Adam,Bennani,abennani8791@yahoo.com,+28-138-195-6991,2025-09-13,UAE,Dubai,B2B
57,Maria,Lopez,mlopez6806@company.com,,2023-04-03,Italy,Rome,B2C
58,Amal,Jackson,ajackson1982@gmail.com,+90-917-132-1049,2022-06-21,Canada,Ottawa,B2C
59,Zara,Clark,zclark9630@gmail.com,+24-151-701-8207,2025-06-21,UAE,Sharjah,VIP
60,Zara,Lopez,zlopez4465@gmail.com,+12-212-726-5540,2024-03-17,Netherlands,The Hague,B2C
61,Leila,Johnson,ljohnson1552@company.com,+72-114-343-1899,2024-10-05,Netherlands,Utrecht,Occasional
62,Leila,Clark,lclark702@yahoo.com,,2023-03-02,Spain,Madrid,B2B
63,Ethan,El Amrani,eel amrani918@company.com,+18-632-512-5886,2025-01-01,France,Lyon,B2C
64,Ethan,Wilson,ewilson2483@company.com,+42-619-583-7297,2023-04-16,Germany,Berlin,Occasional
65,Sofia,Garcia,sgarcia5083@yahoo.com,+40-216-207-9759,2022-11-21,France,Marseille,B2C
66,Sam,Mahboub,smahboub7855@yahoo.com,+96-470-237-4678,2025-03-09,Italy,Naples,B2C
67,Amal,Clark,aclark361@outlook.com,+42-232-302-1857,2024-04-25,Morocco,Fes,B2C
68,Mia,Miller,mmiller5871@yahoo.com,+25-807-408-5941,2023-02-04,Spain,Seville,B2C
69,Noah,Taylor,ntaylor5127@company.com,+73-215-928-8651,2024-02-03,Morocco,Fes,B2C
70,Hassan,Davis,hdavis5192@company.com,+5-204-150-1648,2025-04-11,UK,Manchester,B2C
71,Zara,Johnson,zjohnson3341@outlook.com,+17-159-767-9124,2022-07-02,UK,Birmingham,Loyal
72,Leila,Jackson,ljackson7091@gmail.com,+66-207-556-4283,2024-02-01,Germany,Munich,Occasional
73,Ibrahim,El Amrani,iel amrani3109@company.com,+68-777-448-9329,2024-07-15,Canada,Montreal,B2C
74,Omar,Martinez,omartinez4667@gmail.com,+41-851-927-9901,2025-07-27,Canada,Montreal,Loyal
75,Mia,Moore,mmoore1416@yahoo.com,+44-395-171-8518,2024-11-28,UAE,Abu Dhabi,B2C
76,Ava,Haddad,ahaddad3063@gmail.com,+93-140-668-3095,2023-01-29,UAE,Dubai,B2C
77,Hassan,Thompson,hthompson4932@gmail.com,+9-855-858-8686,2024-07-11,Spain,Seville,B2C
78,Noah,Lopez,nlopez6138@gmail.com,+73-585-892-4045,2025-06-25,Canada,Calgary,B2C
79,Zara,Taylor,ztaylor8519@outlook.com,+50-374-627-2081,2025-03-21,Canada,Calgary,B2C
80,Mia,Haddad,mhaddad5169@gmail.com,+98-924-665-6676,2023-09-23,Netherlands,Utrecht,B2C
81,Youssef,Mahboub,ymahboub249@yahoo.com,+91-477-376-2281,2024-05-25,France,Lyon,B2C
82,Noah,Anderson,nanderson5258@yahoo.com,+79-657-890-5297,2024-12-05,France,Bordeaux,Occasional
83,Lucas,Miller,lmiller6233@company.com,+8-202-555-7590,2025-01-31,UK,Liverpool,B2C
84,Noah,Thompson,nthompson9697@gmail.com,+97-838-759-9732,2024-11-21,Italy,Naples,B2C
85,Alex,Brown,abrown5081@company.com,+86-986-872-5184,2023-07-06,UK,London,B2C
86,Ibrahim,Johnson,ijohnson849@gmail.com,+55-339-931-4999,2025-02-16,Canada,Calgary,B2C
87,Sam,Bennani,sbennani3690@gmail.com,+75-741-690-7962,2022-06-24,UAE,Dubai,B2B
88,Ethan,Bennani,ebennani490@company.com,+23-310-871-4993,2022-06-20,Netherlands,Rotterdam,B2C
89,Hassan,Lopez,hlopez7595@outlook.com,+60-703-328-3138,2023-10-21,Spain,Madrid,B2C
90,Ethan,Davis,edavis2989@yahoo.com,+58-202-347-5946,2025-05-03,Netherlands,The Hague,B2C
91,Omar,Johnson,ojohnson4498@yahoo.com,+53-997-673-3666,2024-12-22,Italy,Milan,B2C
92,Noah,Brown,nbrown9974@company.com,+69-154-452-5461,2025-06-06,Spain,Madrid,B2C
93,Emma,Brown,ebrown825@gmail.com,+55-115-371-5079,2025-08-02,France,Lyon,B2C
94,Sofia,El Amrani,sel amrani9591@company.com,+74-981-355-4120,2025-05-15,Germany,Frankfurt,B2C
95,Mia,Mahboub,mmahboub3060@yahoo.com,+22-631-657-6880,2022-07-14,Netherlands,The Hague,B2C
96,Hassan,Anderson,handerson1555@outlook.com,+86-154-604-3255,2025-01-10,Morocco,Casablanca,VIP
97,Sofia,El Amrani,sel amrani9498@company.com,+26-832-703-9122,2023-04-28,Netherlands,Utrecht,B2C
98,Adam,Garcia,agarcia1019@outlook.com,+64-800-560-9410,2023-11-11,Spain,Barcelona,B2C
99,Olivia,Thompson,othompson2936@gmail.com,+57-158-985-5095,2023-04-24,Canada,Toronto,B2C
100,Lucas,Smith,lsmith1116@yahoo.com,,2023-09-14,USA,Seattle,B2B
101,Noah,Martinez,nmartinez4905@outlook.com,+15-101-360-2008,2023-10-20,UAE,Dubai,B2C
102,Ethan,Brown,ebrown4895@gmail.com,+33-595-801-5204,2025-03-10,Spain,Barcelona,B2C
103,Amal,Mahboub,amahboub9140@outlook.com,+33-305-768-3976,2023-04-04,Spain,Barcelona,B2C
104,Olivia,Haddad,ohaddad7115@gmail.com,,2022-12-10,Germany,Frankfurt,B2C
105,Alex,Martin,amartin9328@gmail.com,,2022-12-14,USA,New York,B2C
106,Maria,Haddad,mhaddad5691@gmail.com,+58-544-104-3525,2025-03-24,UK,London,B2C
107,Ava,Garcia,agarcia9950@company.com,+25-925-600-5089,2024-05-31,Netherlands,Eindhoven,Occasional
108,Sam,Bennani,sbennani1485@outlook.com,+12-640-366-2946,2024-02-17,Canada,Ottawa,B2C
109,Noah,Moore,nmoore299@yahoo.com,,2023-07-31,USA,Seattle,B2C
110,Omar,Miller,omiller3015@yahoo.com,+13-900-232-6343,2023-03-22,Netherlands,Eindhoven,B2C
111,Maria,Lopez,mlopez1730@company.com,+50-338-103-9316,2022-07-04,Italy,Rome,Occasional
112,Mia,Wilson,mwilson5726@company.com,+41-582-248-6595,2023-01-17,Morocco,Casablanca,B2C
113,Hassan,El Amrani,hel amrani2947@outlook.com,+66-270-116-1467,2024-05-22,Spain,Madrid,B2C
114,Zara,Jackson,zjackson6196@yahoo.com,+52-456-775-7097,2024-03-08,Netherlands,Rotterdam,B2C
115,Leila,Anderson,landerson9833@gmail.com,+42-947-111-1316,2025-01-15,Canada,Calgary,B2C
116,Noah,El Amrani,nel amrani7721@company.com,+16-713-521-2344,2023-08-16,UAE,Dubai,B2C
117,Ibrahim,Lopez,ilopez8589@company.com,+90-408-522-8919,2024-11-02,France,Toulouse,Loyal
118,Sofia,Bennani,sbennani888@yahoo.com,+53-803-953-6128,2023-11-24,Germany,Hamburg,Occasional
119,Maria,Lopez,mlopez7980@yahoo.com,+10-487-768-5101,2022-07-12,Netherlands,The Hague,Occasional
120,Ibrahim,Bennani,ibennani9311@company.com,+62-386-412-6478,2024-04-23,Netherlands,Eindhoven,B2C
121,Mia,Smith,msmith9352@yahoo.com,+46-403-439-4263,2023-09-26,Italy,Naples,B2C
122,Emma,Garcia,egarcia468@outlook.com,+72-318-278-1890,2023-12-28,Morocco,Tangier,Loyal
123,Adam,Mahboub,amahboub2021@company.com,+19-151-521-5091,2023-04-19,UK,Birmingham,B2C
124,Alex,Haddad,ahaddad2447@yahoo.com,+87-199-310-3271,2022-11-22,USA,Seattle,VIP
125,Hassan,Mahboub,hmahboub9015@gmail.com,+97-419-956-6296,2022-09-08,Netherlands,Eindhoven,B2C
126,Olivia,Mahboub,omahboub4251@gmail.com,+73-654-461-5880,2024-02-23,UK,Birmingham,B2C
127,Youssef,Haddad,yhaddad8518@outlook.com,+58-765-366-8630,2023-08-30,France,Paris,B2C
128,Maria,Davis,mdavis432@gmail.com,+41-208-309-9064,2024-10-25,USA,Miami,B2C
129,Maria,Garcia,mgarcia1795@yahoo.com,+41-266-320-8910,2024-10-05,Netherlands,Eindhoven,Loyal
130,Mia,Jackson,mjackson5348@yahoo.com,+33-320-366-2451,2022-07-28,Canada,Vancouver,Loyal
131,Olivia,Smith,osmith5176@outlook.com,+49-453-582-8428,2023-11-13,Canada,Vancouver,B2C
132,Liam,Brown,lbrown894@outlook.com,+15-247-434-5989,2025-07-29,France,Toulouse,B2C
133,Amal,Jackson,ajackson1190@gmail.com,+90-922-646-1645,2023-12-19,USA,Austin,B2C
134,Lucas,Taylor,ltaylor8396@company.com,+81-766-433-5218,2025-03-07,Italy,Rome,Occasional
135,Youssef,Lopez,ylopez501@company.com,+34-691-659-1486,2024-11-22,Morocco,Marrakesh,VIP
136,Zara,Martinez,zmartinez5310@outlook.com,+74-102-596-9939,2023-05-14,UK,Liverpool,B2C
137,Hassan,Bennani,hbennani1291@outlook.com,+15-546-453-2378,2025-06-14,Germany,Cologne,B2C
138,Noah,Miller,nmiller3029@yahoo.com,+8-525-651-9549,2024-02-29,Canada,Montreal,B2C
139,Emma,Johnson,ejohnson8459@yahoo.com,+4-360-902-7716,2024-11-21,Italy,Florence,Occasional
140,Ava,Taylor,ataylor1723@outlook.com,+71-429-760-7645,2023-09-26,Canada,Calgary,B2C
141,Noah,Brown,nbrown5089@yahoo.com,+89-270-681-4624,2023-07-26,Canada,Montreal,B2C
142,Ava,El Amrani,ael amrani8271@gmail.com,+13-689-759-6965,2023-06-12,UK,London,B2C
143,Alex,Moore,amoore7780@company.com,+85-920-700-2549,2022-11-15,France,Paris,B2C
144,Adam,Brown,abrown2811@yahoo.com,+73-282-963-5878,2024-03-24,UK,Manchester,Occasional
145,Leila,Wilson,lwilson2551@outlook.com,+62-745-977-5674,2023-10-02,Italy,Turin,B2B
146,Lucas,Smith,lsmith7007@company.com,+36-499-258-9422,2025-03-17,Spain,Valencia,B2C
147,Ethan,Jackson,ejackson4898@outlook.com,+62-827-319-4625,2025-06-03,Spain,Seville,Occasional
148,Emma,Moore,emoore209@yahoo.com,+23-785-194-5324,2024-06-27,UAE,Sharjah,B2C
149,Ava,Clark,aclark2893@outlook.com,+26-425-468-3577,2023-03-02,Italy,Turin,Loyal
150,Hassan,Jackson,hjackson3660@gmail.com,+45-816-220-8551,2023-03-20,Spain,Madrid,VIP
151,Maria,Clark,mclark3900@outlook.com,+98-950-238-1237,2023-10-30,France,Paris,B2C
152,Ethan,Martin,emartin6326@gmail.com,+58-810-324-3435,2024-01-01,UK,Liverpool,B2B
153,Ethan,Haddad,ehaddad8324@yahoo.com,+18-555-596-3192,2024-01-30,France,Bordeaux,B2B
154,Adam,Lopez,alopez238@company.com,+11-185-714-7549,2022-11-02,USA,Seattle,B2C
155,Ibrahim,Anderson,ianderson4247@gmail.com,+6-786-417-3913,2025-01-05,Germany,Berlin,Loyal
156,Olivia,Moore,omoore3946@outlook.com,+71-820-250-5420,2023-03-05,UAE,Abu Dhabi,B2C
157,Ethan,Wilson,ewilson961@outlook.com,+16-352-160-5589,2022-08-16,Netherlands,The Hague,B2C
158,Sam,El Amrani,sel amrani989@gmail.com,+74-839-407-2511,2022-07-16,Netherlands,Eindhoven,Loyal
159,Maria,Anderson,manderson5389@outlook.com,,2025-02-12,Netherlands,Utrecht,B2C
160,Lucas,Miller,lmiller3273@company.com,+53-774-742-5181,2023-06-17,Spain,Barcelona,B2C
161,Liam,Clark,lclark7514@company.com,,2022-11-03,UK,Leeds,B2C
162,Youssef,Garcia,ygarcia612@outlook.com,+84-223-987-6881,2023-01-14,USA,Miami,B2C
163,Noah,Garcia,ngarcia9755@company.com,+86-654-298-5257,2024-08-02,Netherlands,The Hague,B2C
164,Hassan,Miller,hmiller7458@yahoo.com,+37-738-517-1239,2024-03-06,USA,Chicago,B2C
165,Alex,Bennani,abennani2602@outlook.com,+42-193-843-4136,2024-04-11,Germany,Cologne,B2C
166,Adam,Anderson,aanderson1625@outlook.com,+63-708-859-1594,2023-08-19,France,Marseille,B2C
167,Alex,Wilson,awilson6462@company.com,+17-185-522-8469,2024-01-01,Netherlands,Eindhoven,Occasional
168,Ava,Johnson,ajohnson4741@yahoo.com,+30-710-124-2926,2025-05-10,Morocco,Rabat,B2C
169,Sam,Brown,sbrown1762@gmail.com,+14-262-388-4093,2023-04-01,Germany,Hamburg,B2C
170,Sam,Mahboub,smahboub6104@outlook.com,+21-129-935-7294,2022-10-11,UK,Liverpool,B2C
171,Sam,Brown,sbrown4073@gmail.com,+95-778-192-8377,2024-09-14,Germany,Cologne,Occasional
172,Lucas,El Amrani,lel amrani4012@gmail.com,+32-177-618-9240,2025-01-27,USA,San Francisco,B2C
173,Zara,Thompson,zthompson5308@outlook.com,+94-442-823-4577,2025-01-14,Morocco,Marrakesh,B2C
174,Mia,Lopez,mlopez1932@company.com,+11-127-629-6196,2023-08-15,Morocco,Rabat,B2C
175,Noah,El Amrani,nel amrani3790@company.com,+72-451-794-3963,2023-05-02,Netherlands,Eindhoven,B2C
176,Ava,Bennani,abennani6587@outlook.com,+55-972-410-1634,2023-09-07,Germany,Munich,B2C
177,Emma,Garcia,egarcia9683@outlook.com,+77-605-781-7799,2024-03-08,Spain,Seville,Loyal
178,Hassan,Thompson,hthompson5973@gmail.com,,2024-08-17,UAE,Dubai,Occasional
179,Zara,Bennani,zbennani9212@yahoo.com,,2024-06-16,France,Toulouse,B2B
180,Alex,Martin,amartin266@outlook.com,+73-315-546-2827,2023-12-20,Spain,Madrid,B2C
181,Mia,Davis,mdavis8805@company.com,+84-608-152-3432,2024-08-21,UAE,Dubai,VIP
182,Youssef,Brown,ybrown5364@gmail.com,+95-811-869-8662,2023-01-23,Germany,Munich,B2C
183,Ibrahim,Jackson,ijackson1173@gmail.com,+50-533-319-6078,2024-07-12,Spain,Barcelona,B2C
184,Ibrahim,Martin,imartin3700@gmail.com,+41-892-814-2990,2022-09-04,Germany,Frankfurt,B2C
185,Hassan,Miller,hmiller240@company.com,+52-489-720-6217,2022-12-26,Netherlands,Amsterdam,B2B
186,Maria,Bennani,mbennani1364@gmail.com,+95-569-937-2928,2023-11-28,Canada,Calgary,B2C
187,Maria,Haddad,mhaddad968@yahoo.com,+93-301-827-4733,2025-08-15,Morocco,Casablanca,B2C
188,Mia,Lopez,mlopez8840@yahoo.com,+14-487-427-1323,2023-02-12,UAE,Sharjah,Occasional
189,Lucas,Haddad,lhaddad404@gmail.com,+70-569-911-4497,2022-08-07,UAE,Abu Dhabi,Occasional
190,Adam,Moore,amoore2827@gmail.com,+92-240-749-5813,2022-09-05,UAE,Dubai,B2C
191,Olivia,Miller,omiller4450@company.com,+7-359-379-8120,2023-01-25,Morocco,Tangier,B2C
192,Youssef,Thompson,ythompson6739@company.com,+53-846-214-9782,2024-06-19,France,Paris,Occasional
193,Zara,Clark,zclark7957@outlook.com,+54-967-908-2939,2025-08-12,France,Toulouse,B2B
194,Adam,Haddad,ahaddad8624@outlook.com,+20-451-202-1807,2024-10-21,Germany,Hamburg,VIP
195,Sam,Miller,smiller9305@company.com,,2024-06-11,Germany,Berlin,B2C
196,Ethan,Martinez,emartinez8181@gmail.com,+66-941-883-9793,2022-08-02,UK,Liverpool,B2C
197,Amal,Bennani,abennani634@gmail.com,+20-427-920-3347,2024-03-14,France,Toulouse,B2C
198,Adam,Martinez,amartinez8629@yahoo.com,+62-953-214-4130,2022-10-26,Spain,Bilbao,B2C
199,Sam,El Amrani,sel amrani9456@company.com,+38-211-585-4806,2023-01-18,Germany,Cologne,B2C
200,Youssef,Lopez,ylopez1621@outlook.com,+76-748-911-2519,2024-10-11,France,Bordeaux,B2C
201,Olivia,Moore,omoore4976@yahoo.com,+51-942-492-3491,2022-10-10,France,Marseille,B2C
202,Ava,Martin,amartin669@yahoo.com,+59-746-673-6499,2022-08-14,Germany,Frankfurt,Occasional
203,Alex,Haddad,ahaddad2828@outlook.com,,2025-01-21,Germany,Frankfurt,B2C
204,Zara,Miller,zmiller4281@outlook.com,+63-792-667-3714,2023-08-02,Canada,Ottawa,B2B
205,Adam,Lopez,alopez7048@outlook.com,+62-830-432-5551,2022-08-08,UAE,Sharjah,B2C
206,Leila,Taylor,ltaylor7451@outlook.com,+13-436-663-2020,2024-11-18,UK,Birmingham,Loyal
207,Leila,Anderson,landerson998@company.com,+28-277-455-3621,2023-07-09,Spain,Madrid,Loyal
208,Lucas,Miller,lmiller7081@company.com,+18-808-530-8219,2022-12-07,Canada,Toronto,B2C
209,Amal,Mahboub,amahboub7070@yahoo.com,+15-162-480-5329,2023-03-27,Morocco,Casablanca,B2B
210,Adam,Brown,abrown4482@outlook.com,+81-405-424-2634,2023-01-10,Netherlands,Rotterdam,B2C
211,Emma,Bennani,ebennani9098@company.com,+18-345-428-2177,2022-07-02,Canada,Vancouver,B2C
212,Noah,Jackson,njackson2360@yahoo.com,+75-428-547-6655,2024-07-17,Morocco,Fes,Loyal
213,Sofia,Thompson,sthompson4410@company.com,+50-811-422-5147,2024-12-04,Germany,Cologne,B2C
214,Sam,Wilson,swilson4943@outlook.com,+40-786-596-6782,2025-03-04,Germany,Hamburg,B2C
215,Leila,Martinez,lmartinez687@company.com,+66-884-206-9008,2022-12-22,France,Bordeaux,B2C
216,Emma,Miller,emiller6062@yahoo.com,+93-994-600-6530,2023-06-02,UK,Liverpool,B2C
217,Amal,Garcia,agarcia6293@company.com,+6-849-102-7131,2024-08-20,Canada,Toronto,B2C
218,Youssef,Martinez,ymartinez2647@company.com,+90-369-709-9991,2025-02-06,Netherlands,The Hague,B2C
219,Ibrahim,Anderson,ianderson5616@outlook.com,+97-488-728-3277,2024-12-22,Morocco,Fes,VIP
220,Adam,Wilson,awilson8350@company.com,,2023-02-23,Morocco,Tangier,B2C
221,Liam,Thompson,lthompson2088@gmail.com,+72-828-790-1801,2022-11-28,Netherlands,Amsterdam,B2B
222,Liam,Garcia,lgarcia1888@gmail.com,+20-491-530-7668,2025-04-03,Morocco,Rabat,B2C
223,Leila,Lopez,llopez1648@outlook.com,+24-930-164-3212,2025-09-06,France,Toulouse,VIP
224,Leila,Thompson,lthompson4682@gmail.com,+20-462-516-3141,2023-05-24,USA,Austin,VIP
225,Amal,Martin,amartin6363@outlook.com,+12-329-347-2215,2022-07-13,Spain,Bilbao,B2C
226,Olivia,Martin,omartin8466@yahoo.com,,2023-10-02,UK,Birmingham,B2C
227,Adam,Clark,aclark1608@gmail.com,+61-865-323-8634,2022-09-09,Germany,Cologne,B2C
228,Amal,Jackson,ajackson3058@gmail.com,+61-641-215-2095,2024-12-28,Netherlands,Utrecht,Occasional
229,Maria,Miller,mmiller568@company.com,+97-769-141-8383,2022-12-23,UAE,Abu Dhabi,B2C
230,Leila,El Amrani,lel amrani2383@outlook.com,+50-554-623-8718,2023-09-27,France,Toulouse,VIP
231,Ibrahim,Martin,imartin7742@yahoo.com,+25-570-816-2696,2023-07-20,Canada,Vancouver,Occasional
232,Adam,Smith,asmith9177@gmail.com,+97-419-673-6932,2023-12-30,Canada,Ottawa,Occasional
233,Amal,Johnson,ajohnson6155@company.com,+51-808-639-4444,2024-06-08,Spain,Valencia,Loyal
234,Ibrahim,Davis,idavis7701@gmail.com,+34-364-691-9412,2025-02-24,Morocco,Rabat,B2C
235,Ava,Martinez,amartinez3202@yahoo.com,+47-149-506-4134,2025-02-11,UAE,Sharjah,B2C
236,Ethan,Moore,emoore9450@company.com,+5-584-331-5722,2025-04-09,Morocco,Marrakesh,B2B
237,Leila,Jackson,ljackson5476@yahoo.com,+79-320-815-3076,2023-10-12,UK,Manchester,Occasional
238,Alex,El Amrani,ael amrani6355@outlook.com,+73-192-528-2107,2023-12-01,Canada,Toronto,B2C
239,Emma,Martinez,emartinez8371@company.com,+96-620-215-2269,2023-04-23,USA,Seattle,Occasional
240,Ibrahim,Lopez,ilopez3321@company.com,+17-219-180-2686,2022-11-04,UAE,Sharjah,B2C
241,Sam,Thompson,sthompson302@gmail.com,+73-621-176-7968,2022-07-29,USA,New York,Loyal
242,Sofia,Mahboub,smahboub5221@company.com,+70-733-411-2510,2023-12-22,Italy,Naples,B2C
243,Noah,Davis,ndavis4219@gmail.com,+79-857-719-3971,2025-07-21,Canada,Vancouver,Loyal
244,Omar,Jackson,ojackson7649@gmail.com,+31-506-719-6853,2025-05-30,USA,Seattle,B2C
245,Ibrahim,Wilson,iwilson3392@yahoo.com,+44-648-239-6611,2025-06-17,UK,Manchester,B2B
246,Maria,Clark,mclark6825@yahoo.com,+8-146-467-4916,2022-09-26,Italy,Naples,B2C
247,Emma,El Amrani,eel amrani7709@gmail.com,+46-590-133-7843,2025-07-30,Netherlands,Eindhoven,B2C
248,Ava,Johnson,ajohnson9278@company.com,+49-677-641-9987,2024-11-07,Italy,Turin,B2C
249,Noah,Taylor,ntaylor5146@company.com,+55-521-970-9658,2024-02-14,Italy,Naples,B2C
250,Ava,El Amrani,ael amrani952@yahoo.com,+1-429-791-5848,2024-11-02,UK,London,B2C
251,Amal,Wilson,awilson1056@company.com,+40-663-275-3935,2023-09-27,UAE,Dubai,B2C
252,Sofia,Anderson,sanderson2307@gmail.com,+89-240-779-5428,2025-03-20,Canada,Toronto,Occasional
253,Zara,Martinez,zmartinez3498@outlook.com,+63-623-774-9940,2022-06-25,Canada,Vancouver,B2C
254,Ibrahim,Mahboub,imahboub8598@outlook.com,+92-440-575-7012,2025-02-28,Italy,Turin,B2C
255,Olivia,El Amrani,oel amrani4489@company.com,+58-817-963-3421,2022-07-29,UK,Liverpool,B2C
256,Emma,Johnson,ejohnson5055@yahoo.com,+63-710-773-8268,2023-07-16,Spain,Madrid,B2C
257,Lucas,Brown,lbrown5324@company.com,+6-304-194-7833,2025-08-27,Germany,Berlin,B2C
258,Mia,Thompson,mthompson1770@outlook.com,+65-717-158-1090,2022-08-19,Morocco,Casablanca,B2C
259,Zara,Smith,zsmith1026@gmail.com,+23-499-706-4985,2023-09-12,USA,Seattle,Loyal
